fold,model,mae,rmse,r2,spearman,top10_prec,position
3,baseline_vs_rest,2.3584,3.4507,-0.0677,0.3307,0.5417,FWD
3,ridge,2.2333,2.989,0.0809,0.3941,0.45,FWD
3,ridge_home,2.3509,3.028,0.1071,0.452,0.7083,FWD
3,ridge_away,2.1141,2.949,0.0511,0.3622,0.6958,FWD
3,ridge_vs_top6,1.8196,2.4834,-0.0214,0.2934,0.8313,FWD
3,ridge_vs_rest,2.4195,3.1904,0.0873,0.4006,0.5667,FWD
3,lgbm,2.2502,3.0402,0.0491,0.3651,0.4125,FWD
3,lgbm_home,2.3543,3.1338,0.0435,0.3965,0.6875,FWD
3,lgbm_away,2.1446,2.9422,0.0554,0.3365,0.6875,FWD
3,lgbm_vs_top6,1.7884,2.4702,-0.0105,0.2615,0.8313,FWD
3,lgbm_vs_rest,2.458,3.2643,0.0445,0.3798,0.5708,FWD
