fold,model,mae,rmse,r2,spearman,top10_prec
3,position_mean,2.4333,3.132,-0.0092,0.0024,0.3
3,position_mean_home,2.5826,3.2312,-0.0168,,0.6
3,position_mean_away,2.2819,3.0281,-0.0006,,0.575
3,position_mean_vs_top6,2.1659,2.5744,-0.0975,0.042,0.8375
3,position_mean_vs_rest,2.5536,3.3528,-0.008,-0.0143,0.4375
3,elasticnet,2.3548,3.0286,0.0564,0.3904,0.4125
3,elasticnet_home,2.3629,3.0864,0.0723,0.4702,0.7375
3,elasticnet_away,2.3465,2.9687,0.0383,0.3116,0.6875
3,elasticnet_vs_top6,2.1067,2.5028,-0.0373,0.3287,0.8563
3,elasticnet_vs_rest,2.4664,3.2373,0.0603,0.4154,0.5583
3,bayesian_ridge,2.2446,2.9849,0.0834,0.3988,0.4458
3,bayesian_ridge_home,2.3517,3.0186,0.1126,0.4622,0.725
3,bayesian_ridge_away,2.1359,2.9502,0.0502,0.3627,0.7
3,bayesian_ridge_vs_top6,1.8278,2.4756,-0.0149,0.3067,0.8438
3,bayesian_ridge_vs_rest,2.4321,3.1875,0.089,0.4044,0.5583
3,lasso,2.4282,3.1224,-0.003,,0.2458
3,lasso_home,2.4513,3.2079,-0.0023,,0.6
3,lasso_away,2.4047,3.0332,-0.004,,0.575
3,lasso_vs_top6,2.1656,2.5714,-0.095,,0.875
3,lasso_vs_rest,2.5463,3.3408,-0.0008,,0.3958
3,xgb,2.2853,3.056,0.0392,0.3685,0.4125
3,xgb_home,2.4289,3.1796,0.0154,0.3929,0.7458
3,xgb_away,2.1396,2.9252,0.0663,0.3503,0.675
3,xgb_vs_top6,1.8184,2.5287,-0.0589,0.2645,0.825
3,xgb_vs_rest,2.4953,3.2655,0.0438,0.3857,0.5708
3,random_forest,2.3219,3.019,0.0623,0.3721,0.4125
3,random_forest_home,2.4073,3.1039,0.0617,0.399,0.7083
3,random_forest_away,2.2354,2.9304,0.063,0.3475,0.6833
3,random_forest_vs_top6,1.9355,2.5003,-0.0353,0.2942,0.85
3,random_forest_vs_rest,2.4958,3.2253,0.0673,0.3825,0.55
3,extra_trees,2.3508,3.0391,0.0498,0.3886,0.4208
3,extra_trees_home,2.4689,3.1309,0.0453,0.4429,0.7208
3,extra_trees_away,2.231,2.9429,0.0549,0.3425,0.6958
3,extra_trees_vs_top6,1.9412,2.5204,-0.052,0.314,0.8438
3,extra_trees_vs_rest,2.535,3.2454,0.0556,0.3903,0.5583
3,hist_gb,2.2501,3.0363,0.0516,0.36,0.4292
3,hist_gb_home,2.3396,3.1105,0.0577,0.4009,0.7167
3,hist_gb_away,2.1593,2.9591,0.0445,0.3218,0.6792
3,hist_gb_vs_top6,1.7578,2.4202,0.03,0.2736,0.825
3,hist_gb_vs_rest,2.4715,3.2759,0.0378,0.363,0.5583
3,poisson_glm,2.2241,2.9811,0.0857,0.3986,0.4542
3,poisson_glm_home,2.3479,3.0282,0.1069,0.4581,0.7208
3,poisson_glm_away,2.0986,2.9325,0.0616,0.3666,0.7
3,poisson_glm_vs_top6,1.7915,2.4498,0.0061,0.3039,0.8313
3,poisson_glm_vs_rest,2.4188,3.1914,0.0867,0.4019,0.5708
3,fdr_mean,2.2923,3.315,-0.1306,0.3298,0.4
3,fdr_mean_home,2.1387,3.1336,0.0436,0.455,0.725
3,fdr_mean_away,2.4482,3.4894,-0.3286,0.2111,0.6667
3,fdr_mean_vs_top6,1.9191,2.8097,-0.3073,0.2843,0.8625
3,fdr_mean_vs_rest,2.4602,3.5187,-0.1102,0.3343,0.5375
3,last_season_avg,2.2641,3.2998,-0.1202,0.3184,0.3875
3,last_season_avg_home,2.1168,3.1269,0.0477,0.4467,0.725
3,last_season_avg_away,2.4135,3.4663,-0.3111,0.1964,0.6583
3,last_season_avg_vs_top6,2.0498,2.957,-0.448,0.2972,0.8625
3,last_season_avg_vs_rest,2.3605,3.4428,-0.0628,0.328,0.5375
