fold,model,mae,rmse,r2,spearman,top10_prec
2,component_model_vs_top6,2.2765,3.4161,-0.5677,0.0123,
2,component_model_vs_rest,2.1781,3.2171,-0.3291,0.1248,0.7447
2,poly_ridge,2.2157,2.9951,-0.1601,0.0531,0.5447
2,poly_ridge_home,2.2711,2.9802,-0.1287,0.0984,0.9
2,poly_ridge_away,2.16,3.0101,-0.195,0.0284,0.9
2,poly_ridge_vs_top6,2.0781,3.0874,-0.2805,-0.0702,
2,poly_ridge_vs_rest,2.2744,2.9549,-0.1213,0.0726,0.7421
2,simple_avg,2.1141,2.7488,0.0229,0.1404,0.5447
2,simple_avg_home,2.1767,2.7822,0.0162,0.1275,0.85
2,simple_avg_away,2.0512,2.7147,0.028,0.1808,0.925
2,simple_avg_vs_top6,1.9182,2.7572,-0.0212,-0.0398,
2,simple_avg_vs_rest,2.1976,2.7452,0.0322,0.1654,0.7342
2,stacking,2.1223,2.749,0.0227,0.1499,0.5553
2,stacking_home,2.1848,2.7853,0.014,0.137,0.85
2,stacking_away,2.0595,2.712,0.03,0.1904,0.925
2,stacking_vs_top6,1.9241,2.7609,-0.024,-0.0316,
2,stacking_vs_rest,2.2068,2.7439,0.0331,0.1734,0.7421
2,blending,2.0689,2.7539,0.0192,0.13,0.5447
2,blending_home,2.1342,2.7777,0.0194,0.1456,0.875
2,blending_away,2.0032,2.7298,0.0172,0.1519,0.925
2,blending_vs_top6,1.8188,2.7168,0.0084,0.0951,
2,blending_vs_rest,2.1755,2.7696,0.0149,0.1125,0.7342
3,baseline,2.3507,3.0757,-0.2799,0.0438,0.5292
3,baseline_home,2.3872,3.1553,-0.2822,0.0402,
3,baseline_away,2.3144,2.9944,-0.3072,0.0408,0.9
3,baseline_vs_top6,2.4376,3.1279,-0.473,0.022,
3,baseline_vs_rest,2.3133,3.053,-0.2255,0.0629,0.725
3,ridge,2.1201,2.6992,0.0143,0.1332,0.55
3,ridge_home,2.216,2.7873,-0.0005,0.0971,
3,ridge_away,2.0245,2.6084,0.0081,0.1332,0.9
3,ridge_vs_top6,1.8707,2.5866,-0.0073,0.0776,
3,ridge_vs_rest,2.2275,2.7462,0.0084,0.0855,0.7125
3,lgbm,2.2141,2.8119,-0.0697,0.026,0.5208
3,lgbm_home,2.2687,2.8897,-0.0754,0.0047,
3,lgbm_away,2.1596,2.7321,-0.0883,0.0487,0.9
3,lgbm_vs_top6,1.9768,2.6999,-0.0974,-0.0725,
3,lgbm_vs_rest,2.3163,2.8587,-0.0746,-0.0166,0.7167
3,position_mean,2.1833,2.7115,0.0052,0.1107,0.5667
3,position_mean_home,2.267,2.7901,-0.0025,,
3,position_mean_away,2.1,2.631,-0.0091,,0.9
3,position_mean_vs_top6,2.1321,2.6213,-0.0345,0.0772,
3,position_mean_vs_rest,2.2054,2.7495,0.006,0.131,0.7417
3,elasticnet,2.1919,2.7192,-0.0004,,0.5083
